job_role,company_name,company_type,knowledge,skills,knowledge_cleaned,skills_cleaned,combined_features
"Software Developer Engineer, Device Software Services",Amazon,MAANG/FAAMG,"Cloud service design principles, embedded systems architecture, and communication protocols used in IP messaging, voice, and video.","Problem solving and debugging skills, communication and collaboration skills, commitment to building great end-userÂ experiences, ability to be adaptable and agile in development.",cloud service design principles embedded systems architecture communication protocols used ip messaging voice video,problem solving debugging skills communication collaboration skills commitment building great enduser experiences ability adaptable agile development,"Software Developer Engineer, Device Software Services MAANG/FAAMG cloud service design principles embedded systems architecture communication protocols used ip messaging voice video problem solving debugging skills communication collaboration skills commitment building great enduser experiences ability adaptable agile development"
"Software Developer Engineer II- TEST, Alexa Smart Home",Amazon,MAANG/FAAMG,"Java, C++, and C#, system architecture, scalability, reliability, and performance in database environments, and security in service-oriented architectures and web services.","Test automation framework development, professional software development testing experience, object-oriented design, designing low-maintenance automation frameworks, and platform-level security mitigations and hardening for Linux and Windows.",java c c system architecture scalability reliability performance database environments security serviceoriented architectures web services,test automation framework development professional software development testing experience objectoriented design designing lowmaintenance automation frameworks platformlevel security mitigations hardening linux windows,"Software Developer Engineer II- TEST, Alexa Smart Home MAANG/FAAMG java c c system architecture scalability reliability performance database environments security serviceoriented architectures web services test automation framework development professional software development testing experience objectoriented design designing lowmaintenance automation frameworks platformlevel security mitigations hardening linux windows"
"Software Development Engineer, Mobile Developer",Amazon,MAANG/FAAMG,"Design patterns, reliability and scaling of systems, Java, C++, C#, full software development life cycle (SDLC), coding standards, code reviews, source control management, build processes, testing, operations, Apple platform development, Android development.","Software development, object-oriented design, building production software, problem-solving, debugging, collaboration, communication, adaptability, working with modern programming languages (Java, C++, C#), SDLC processes, Apple and Android platform development.",design patterns reliability scaling systems java c c full software development life cycle sdlc coding standards code reviews source control management build processes testing operations apple platform development android development,software development objectoriented design building production software problemsolving debugging collaboration communication adaptability working modern programming languages java c c sdlc processes apple android platform development,"Software Development Engineer, Mobile Developer MAANG/FAAMG design patterns reliability scaling systems java c c full software development life cycle sdlc coding standards code reviews source control management build processes testing operations apple platform development android development software development objectoriented design building production software problemsolving debugging collaboration communication adaptability working modern programming languages java c c sdlc processes apple android platform development"
Software Engineer,Microsoft,MAANG/FAAMG,"C#, Java, JavaScript and Web development, software development lifecycle and agile methodologies, webrtc media stack
","Problem solving and debugging skills, communication and collaboration skills, commitment to building great end-userÂ experiences, ability to be adaptable and agile in development.",c java javascript web development software development lifecycle agile methodologies webrtc media stack,problem solving debugging skills communication collaboration skills commitment building great enduser experiences ability adaptable agile development,Software Engineer MAANG/FAAMG c java javascript web development software development lifecycle agile methodologies webrtc media stack problem solving debugging skills communication collaboration skills commitment building great enduser experiences ability adaptable agile development
Software Engineer- II,Microsoft,MAANG/FAAMG,"C#, Java, JavaScript, web development, WebRTC media stack, object-oriented programming, cloud services infrastructure, Azure Cloud Services, Azure Service Fabric, .NET Framework, NuGet packages, Git, service design patterns, application development best practices, NoSQL data storage systems, CosmosDB, PowerBI, Azure Service Bus, Event Hub, Data Factory, SQL, Key Vault, Application Insights.","Problem-solving and debugging skills, communication and collaboration skills, commitment to building great end-user experiences, ability to be adaptable and agile in development, experience with the software development lifecycle, and agile methodologies.",c java javascript web development webrtc media stack objectoriented programming cloud services infrastructure azure cloud services azure service fabric net framework nuget packages git service design patterns application development best practices nosql data storage systems cosmosdb powerbi azure service bus event hub data factory sql key vault application insights,problemsolving debugging skills communication collaboration skills commitment building great enduser experiences ability adaptable agile development experience software development lifecycle agile methodologies,Software Engineer- II MAANG/FAAMG c java javascript web development webrtc media stack objectoriented programming cloud services infrastructure azure cloud services azure service fabric net framework nuget packages git service design patterns application development best practices nosql data storage systems cosmosdb powerbi azure service bus event hub data factory sql key vault application insights problemsolving debugging skills communication collaboration skills commitment building great enduser experiences ability adaptable agile development experience software development lifecycle agile methodologies
Principal Software Engineer,Microsoft,MAANG/FAAMG,"Coding in languages such as C, C++, C#, Java, JavaScript/TypeScript, React, or Python, architecting and building backend services using ASP.NET, complex single-page applications, optimizing experiences for performance and accessibility, building and shipping large-scale distributed services and APIs, preferably on Azure or AWS platforms, HTML/CSS scripting for building great UI/UX, relational and/or non-relational (NoSQL) databases, web services, and RESTful concepts.","Strong problem-solving, debugging, collaboration, and communication skills, expertise in middle tier/backend technologies, experience with unit testing, continuous integration, and test-driven development.",coding languages c c c java javascripttypescript react python architecting building backend services using aspnet complex singlepage applications optimizing experiences performance accessibility building shipping largescale distributed services apis preferably azure aws platforms htmlcss scripting building great uiux relational andor nonrelational nosql databases web services restful concepts,strong problemsolving debugging collaboration communication skills expertise middle tierbackend technologies experience unit testing continuous integration testdriven development,Principal Software Engineer MAANG/FAAMG coding languages c c c java javascripttypescript react python architecting building backend services using aspnet complex singlepage applications optimizing experiences performance accessibility building shipping largescale distributed services apis preferably azure aws platforms htmlcss scripting building great uiux relational andor nonrelational nosql databases web services restful concepts strong problemsolving debugging collaboration communication skills expertise middle tierbackend technologies experience unit testing continuous integration testdriven development
Cellular Software Development Engineer,Apple,MAANG/FAAMG,"Cellular technologies like NR, LTE, HSDPA/HSUPA, GSM/GPRS/EDGE, programming languages such as C, C++, and scripting, relevant ETSI/3GPP protocol technical specifications, TTCN-3 test case development, standard software development and tool environments, cellular protocol stacks for commercial UE or protocol test systems, strong protocol development experience in NAS, AS, or Data Plane protocols, preferably in LTE/NR domains, experience in cellular protocol stack host test or simulation environment development, HW/SW split, and performance analysis","Problem-solving and debugging skills, test case scripting and regression test suite debugging, experience in test case development, debugging, and integration, hands-on experience in cellular software protocol architecture and design, strong teamwork skills, highly motivated and proactive with a fast-learning ability, proficiency in English with excellent verbal and written communication skills.",cellular technologies like nr lte hsdpahsupa gsmgprsedge programming languages c c scripting relevant etsi3gpp protocol technical specifications ttcn3 test case development standard software development tool environments cellular protocol stacks commercial ue protocol test systems strong protocol development experience nas data plane protocols preferably ltenr domains experience cellular protocol stack host test simulation environment development hwsw split performance analysis,problemsolving debugging skills test case scripting regression test suite debugging experience test case development debugging integration handson experience cellular software protocol architecture design strong teamwork skills highly motivated proactive fastlearning ability proficiency english excellent verbal written communication skills,Cellular Software Development Engineer MAANG/FAAMG cellular technologies like nr lte hsdpahsupa gsmgprsedge programming languages c c scripting relevant etsi3gpp protocol technical specifications ttcn3 test case development standard software development tool environments cellular protocol stacks commercial ue protocol test systems strong protocol development experience nas data plane protocols preferably ltenr domains experience cellular protocol stack host test simulation environment development hwsw split performance analysis problemsolving debugging skills test case scripting regression test suite debugging experience test case development debugging integration handson experience cellular software protocol architecture design strong teamwork skills highly motivated proactive fastlearning ability proficiency english excellent verbal written communication skills
Software Development Engineer in Test,Apple,MAANG/FAAMG,"Back-end development technologies, Java and related frameworks, browser technologies and frameworks such as HTML, CSS, JavaScript, React, relational database technologies, testing and automating Java-based web services, testing tools like Playwright, Selenium, JUnit, TestNG.","Self-motivated, proactive, meticulous, excellent written and oral communication skills, proficiency in developing test plans and automation strategies, hands-on experience in testing and automating applications, experience in automating and testing asynchronous and distributed systems.",backend development technologies java related frameworks browser technologies frameworks html css javascript react relational database technologies testing automating javabased web services testing tools like playwright selenium junit testng,selfmotivated proactive meticulous excellent written oral communication skills proficiency developing test plans automation strategies handson experience testing automating applications experience automating testing asynchronous distributed systems,Software Development Engineer in Test MAANG/FAAMG backend development technologies java related frameworks browser technologies frameworks html css javascript react relational database technologies testing automating javabased web services testing tools like playwright selenium junit testng selfmotivated proactive meticulous excellent written oral communication skills proficiency developing test plans automation strategies handson experience testing automating applications experience automating testing asynchronous distributed systems
"Software Development Engineer, Java - Engineering Solutions",Apple,MAANG/FAAMG,"Cloud technologies, enterprise system scalability and availability, transactional systems, designing, developing, and productizing highly available, distributed, and scalable transactional enterprise systems, strong programming experience in Java/J2EE for middleware or backend applications, microservices architecture, web services, Spring, Spring Boot, Hibernate, SOA, RDBMS like Oracle, NoSQL databases such as MongoDB, Couchbase, and Elasticsearch.","Sharp troubleshooting skills, real-world systems deployment experience, proven track record with rapid development cycles and demanding schedules, experience in software development using Agile methodologies, experience handling distributed vendor resources.",cloud technologies enterprise system scalability availability transactional systems designing developing productizing highly available distributed scalable transactional enterprise systems strong programming experience javaj2ee middleware backend applications microservices architecture web services spring spring boot hibernate soa rdbms like oracle nosql databases mongodb couchbase elasticsearch,sharp troubleshooting skills realworld systems deployment experience proven track record rapid development cycles demanding schedules experience software development using agile methodologies experience handling distributed vendor resources,"Software Development Engineer, Java - Engineering Solutions MAANG/FAAMG cloud technologies enterprise system scalability availability transactional systems designing developing productizing highly available distributed scalable transactional enterprise systems strong programming experience javaj2ee middleware backend applications microservices architecture web services spring spring boot hibernate soa rdbms like oracle nosql databases mongodb couchbase elasticsearch sharp troubleshooting skills realworld systems deployment experience proven track record rapid development cycles demanding schedules experience software development using agile methodologies experience handling distributed vendor resources"
"Partner Engineer, Generative AI",Meta,MAANG/FAAMG,"Metaâs AI, Llama architecture, Deep Learning, LLMs, NLP, Speech, Conversational AI, AI Infrastructure, PyTorch model fine-tuning and optimization, software development in Python, Java, Go, Rust, C/C++, LLMs like Llama, GPT, Claude, Falcon, deep learning frameworks like PyTorch and/or JAX, cloud solutions, Open Source cloud stacks like Kubernetes, Kubeflow, Docker, Deep Learning models for Computer Vision, NLP, Recommender Systems, AI and machine learning techniques, cloud platforms like AWS.","Experience presenting to technical and business audiences, experience working with internal and external partners, experience manipulating and transforming data, model selection, model training, model optimization, deployment at scale, experience deploying production-grade machine learning solutions on public cloud platforms, experience with launching products/services or applications into market, experience contributing to Open Source projects, submitting PRs, or participating in Kaggle competitions.",metas ai llama architecture deep learning llms nlp speech conversational ai ai infrastructure pytorch model finetuning optimization software development python java go rust cc llms like llama gpt claude falcon deep learning frameworks like pytorch andor jax cloud solutions open source cloud stacks like kubernetes kubeflow docker deep learning models computer vision nlp recommender systems ai machine learning techniques cloud platforms like aws,experience presenting technical business audiences experience working internal external partners experience manipulating transforming data model selection model training model optimization deployment scale experience deploying productiongrade machine learning solutions public cloud platforms experience launching productsservices applications market experience contributing open source projects submitting prs participating kaggle competitions,"Partner Engineer, Generative AI MAANG/FAAMG metas ai llama architecture deep learning llms nlp speech conversational ai ai infrastructure pytorch model finetuning optimization software development python java go rust cc llms like llama gpt claude falcon deep learning frameworks like pytorch andor jax cloud solutions open source cloud stacks like kubernetes kubeflow docker deep learning models computer vision nlp recommender systems ai machine learning techniques cloud platforms like aws experience presenting technical business audiences experience working internal external partners experience manipulating transforming data model selection model training model optimization deployment scale experience deploying productiongrade machine learning solutions public cloud platforms experience launching productsservices applications market experience contributing open source projects submitting prs participating kaggle competitions"
"ASIC Engineer, Design Verification",Meta,MAANG/FAAMG,"SystemVerilog/UVM methodology, C/C++ based verification, IP/sub-system and/or SoC level verification, SV Assertions, Formal, Emulation, verification environments for ARM/RISC-V based sub-systems or SoCs, Design verification of Data-center applications like Video, AI/ML, and Networking designs, verification of high-speed interfaces like PCIe, DDR, Ethernet.","Track record of 'first-pass success' in ASIC development cycles, experience in architecting and implementing Design Verification infrastructure, experience with functional verification, experience with EDA tools and scripting (Python, TCL, Perl, Shell), experience with revision control systems like Mercurial, Git, or SVN, experience working across and building relationships with cross-functional design, model, and emulation teams.",systemveriloguvm methodology cc based verification ipsubsystem andor soc level verification sv assertions formal emulation verification environments armriscv based subsystems socs design verification datacenter applications like video aiml networking designs verification highspeed interfaces like pcie ddr ethernet,track record firstpass success asic development cycles experience architecting implementing design verification infrastructure experience functional verification experience eda tools scripting python tcl perl shell experience revision control systems like mercurial git svn experience working across building relationships crossfunctional design model emulation teams,"ASIC Engineer, Design Verification MAANG/FAAMG systemveriloguvm methodology cc based verification ipsubsystem andor soc level verification sv assertions formal emulation verification environments armriscv based subsystems socs design verification datacenter applications like video aiml networking designs verification highspeed interfaces like pcie ddr ethernet track record firstpass success asic development cycles experience architecting implementing design verification infrastructure experience functional verification experience eda tools scripting python tcl perl shell experience revision control systems like mercurial git svn experience working across building relationships crossfunctional design model emulation teams"
ASIC Engineer - Infra Specialist,Meta,MAANG/FAAMG,"Embedded system development, programming in C for development, debugging, testing, and performance analysis, BootROM, bootloaders, and secure boot development, platform firmware development for complex SoCs, working with embedded hardware platforms, RTOS (preferably Zephyr), embedded Linux, peripheral drivers like PCIe, UART, I2C, SPI, SoC block understanding, board bring-up, clock-level issues, interrupts, polling.","Experience in leading complex features or projects across multiple teams, experience in Python or other scripting languages for tooling and test automation, experience with lab instrumentation such as oscilloscopes and logic/protocol analyzers, experience delivering end-to-end product solutions.",embedded system development programming c development debugging testing performance analysis bootrom bootloaders secure boot development platform firmware development complex socs working embedded hardware platforms rtos preferably zephyr embedded linux peripheral drivers like pcie uart i2c spi soc block understanding board bringup clocklevel issues interrupts polling,experience leading complex features projects across multiple teams experience python scripting languages tooling test automation experience lab instrumentation oscilloscopes logicprotocol analyzers experience delivering endtoend product solutions,ASIC Engineer - Infra Specialist MAANG/FAAMG embedded system development programming c development debugging testing performance analysis bootrom bootloaders secure boot development platform firmware development complex socs working embedded hardware platforms rtos preferably zephyr embedded linux peripheral drivers like pcie uart i2c spi soc block understanding board bringup clocklevel issues interrupts polling experience leading complex features projects across multiple teams experience python scripting languages tooling test automation experience lab instrumentation oscilloscopes logicprotocol analyzers experience delivering endtoend product solutions
"Software Engineer, Payments",Google,MAANG/FAAMG,"Programming languages such as Python, C, C++, Java, or JavaScript.","Software development experience, experience developing accessible technologies.",programming languages python c c java javascript,software development experience experience developing accessible technologies,"Software Engineer, Payments MAANG/FAAMG programming languages python c c java javascript software development experience experience developing accessible technologies"
"Software Engineer, YouTube",Google,MAANG/FAAMG,"Programming languages such as Python, C, C++, Java, JavaScript.","Software development experience, experience developing accessible technologies.",programming languages python c c java javascript,software development experience experience developing accessible technologies,"Software Engineer, YouTube MAANG/FAAMG programming languages python c c java javascript software development experience experience developing accessible technologies"
"Engineering Manager, Creator Support, YouTube",Google,MAANG/FAAMG,"Machine Learning, Generative AI, chatbots, programming languages such as Python, C, C++, Java, JavaScript.","Experience managing teams of Software Engineers, experience in people management, supervision, and team leadership, experience overseeing projects in a technical leadership role, experience in the support domain.",machine learning generative ai chatbots programming languages python c c java javascript,experience managing teams software engineers experience people management supervision team leadership experience overseeing projects technical leadership role experience support domain,"Engineering Manager, Creator Support, YouTube MAANG/FAAMG machine learning generative ai chatbots programming languages python c c java javascript experience managing teams software engineers experience people management supervision team leadership experience overseeing projects technical leadership role experience support domain"
