job_role,company_name,company_type,knowledge,skills
"Software Developer Engineer, Device Software Services",Amazon,MAANG/FAAMG,"Cloud service design principles, embedded systems architecture, and communication protocols used in IP messaging, voice, and video.","Problem solving and debugging skills, communication and collaboration skills, commitment to building great end-user�experiences, ability to be adaptable and agile in development."
"Software Developer Engineer II- TEST, Alexa Smart Home",Amazon,MAANG/FAAMG,"Java, C++, and C#, system architecture, scalability, reliability, and performance in database environments, and security in service-oriented architectures and web services.","Test automation framework development, professional software development testing experience, object-oriented design, designing low-maintenance automation frameworks, and platform-level security mitigations and hardening for Linux and Windows."
"Software Development Engineer, Mobile Developer",Amazon,MAANG/FAAMG,"Design patterns, reliability and scaling of systems, Java, C++, C#, full software development life cycle (SDLC), coding standards, code reviews, source control management, build processes, testing, operations, Apple platform development, Android development.","Software development, object-oriented design, building production software, problem-solving, debugging, collaboration, communication, adaptability, working with modern programming languages (Java, C++, C#), SDLC processes, Apple and Android platform development."
Software Engineer,Microsoft,MAANG/FAAMG,"C#, Java, JavaScript and Web development, software development lifecycle and agile methodologies, webrtc media stack
","Problem solving and debugging skills, communication and collaboration skills, commitment to building great end-user�experiences, ability to be adaptable and agile in development."
Software Engineer- II,Microsoft,MAANG/FAAMG,"C#, Java, JavaScript, web development, WebRTC media stack, object-oriented programming, cloud services infrastructure, Azure Cloud Services, Azure Service Fabric, .NET Framework, NuGet packages, Git, service design patterns, application development best practices, NoSQL data storage systems, CosmosDB, PowerBI, Azure Service Bus, Event Hub, Data Factory, SQL, Key Vault, Application Insights.","Problem-solving and debugging skills, communication and collaboration skills, commitment to building great end-user experiences, ability to be adaptable and agile in development, experience with the software development lifecycle, and agile methodologies."
Principal Software Engineer,Microsoft,MAANG/FAAMG,"Coding in languages such as C, C++, C#, Java, JavaScript/TypeScript, React, or Python, architecting and building backend services using ASP.NET, complex single-page applications, optimizing experiences for performance and accessibility, building and shipping large-scale distributed services and APIs, preferably on Azure or AWS platforms, HTML/CSS scripting for building great UI/UX, relational and/or non-relational (NoSQL) databases, web services, and RESTful concepts.","Strong problem-solving, debugging, collaboration, and communication skills, expertise in middle tier/backend technologies, experience with unit testing, continuous integration, and test-driven development."
Cellular Software Development Engineer,Apple,MAANG/FAAMG,"Cellular technologies like NR, LTE, HSDPA/HSUPA, GSM/GPRS/EDGE, programming languages such as C, C++, and scripting, relevant ETSI/3GPP protocol technical specifications, TTCN-3 test case development, standard software development and tool environments, cellular protocol stacks for commercial UE or protocol test systems, strong protocol development experience in NAS, AS, or Data Plane protocols, preferably in LTE/NR domains, experience in cellular protocol stack host test or simulation environment development, HW/SW split, and performance analysis","Problem-solving and debugging skills, test case scripting and regression test suite debugging, experience in test case development, debugging, and integration, hands-on experience in cellular software protocol architecture and design, strong teamwork skills, highly motivated and proactive with a fast-learning ability, proficiency in English with excellent verbal and written communication skills."
Software Development Engineer in Test,Apple,MAANG/FAAMG,"Back-end development technologies, Java and related frameworks, browser technologies and frameworks such as HTML, CSS, JavaScript, React, relational database technologies, testing and automating Java-based web services, testing tools like Playwright, Selenium, JUnit, TestNG.","Self-motivated, proactive, meticulous, excellent written and oral communication skills, proficiency in developing test plans and automation strategies, hands-on experience in testing and automating applications, experience in automating and testing asynchronous and distributed systems."
"Software Development Engineer, Java - Engineering Solutions",Apple,MAANG/FAAMG,"Cloud technologies, enterprise system scalability and availability, transactional systems, designing, developing, and productizing highly available, distributed, and scalable transactional enterprise systems, strong programming experience in Java/J2EE for middleware or backend applications, microservices architecture, web services, Spring, Spring Boot, Hibernate, SOA, RDBMS like Oracle, NoSQL databases such as MongoDB, Couchbase, and Elasticsearch.","Sharp troubleshooting skills, real-world systems deployment experience, proven track record with rapid development cycles and demanding schedules, experience in software development using Agile methodologies, experience handling distributed vendor resources."
"Partner Engineer, Generative AI",Meta,MAANG/FAAMG,"Meta�s AI, Llama architecture, Deep Learning, LLMs, NLP, Speech, Conversational AI, AI Infrastructure, PyTorch model fine-tuning and optimization, software development in Python, Java, Go, Rust, C/C++, LLMs like Llama, GPT, Claude, Falcon, deep learning frameworks like PyTorch and/or JAX, cloud solutions, Open Source cloud stacks like Kubernetes, Kubeflow, Docker, Deep Learning models for Computer Vision, NLP, Recommender Systems, AI and machine learning techniques, cloud platforms like AWS.","Experience presenting to technical and business audiences, experience working with internal and external partners, experience manipulating and transforming data, model selection, model training, model optimization, deployment at scale, experience deploying production-grade machine learning solutions on public cloud platforms, experience with launching products/services or applications into market, experience contributing to Open Source projects, submitting PRs, or participating in Kaggle competitions."
"ASIC Engineer, Design Verification",Meta,MAANG/FAAMG,"SystemVerilog/UVM methodology, C/C++ based verification, IP/sub-system and/or SoC level verification, SV Assertions, Formal, Emulation, verification environments for ARM/RISC-V based sub-systems or SoCs, Design verification of Data-center applications like Video, AI/ML, and Networking designs, verification of high-speed interfaces like PCIe, DDR, Ethernet.","Track record of 'first-pass success' in ASIC development cycles, experience in architecting and implementing Design Verification infrastructure, experience with functional verification, experience with EDA tools and scripting (Python, TCL, Perl, Shell), experience with revision control systems like Mercurial, Git, or SVN, experience working across and building relationships with cross-functional design, model, and emulation teams."
ASIC Engineer - Infra Specialist,Meta,MAANG/FAAMG,"Embedded system development, programming in C for development, debugging, testing, and performance analysis, BootROM, bootloaders, and secure boot development, platform firmware development for complex SoCs, working with embedded hardware platforms, RTOS (preferably Zephyr), embedded Linux, peripheral drivers like PCIe, UART, I2C, SPI, SoC block understanding, board bring-up, clock-level issues, interrupts, polling.","Experience in leading complex features or projects across multiple teams, experience in Python or other scripting languages for tooling and test automation, experience with lab instrumentation such as oscilloscopes and logic/protocol analyzers, experience delivering end-to-end product solutions."
"Software Engineer, Payments",Google,MAANG/FAAMG,"Programming languages such as Python, C, C++, Java, or JavaScript.","Software development experience, experience developing accessible technologies."
"Software Engineer, YouTube",Google,MAANG/FAAMG,"Programming languages such as Python, C, C++, Java, JavaScript.","Software development experience, experience developing accessible technologies."
"Engineering Manager, Creator Support, YouTube",Google,MAANG/FAAMG,"Machine Learning, Generative AI, chatbots, programming languages such as Python, C, C++, Java, JavaScript.","Experience managing teams of Software Engineers, experience in people management, supervision, and team leadership, experience overseeing projects in a technical leadership role, experience in the support domain."
Production Support Specialist - APAC,Netflix,MAANG/FAAMG,"JSON, XML, CSV, MHL and other commonly used data formats, Windows, Mac, and Linux operating systems, storage infrastructure in production and post-production, local drives, facility storage array networks, cloud storage, Avid Media Composer, Adobe Premiere, Colorfront OSD & Transkoder, Aspera, industry standards like ALE, EDL, MHL/ASC-MHL, FDL, technology solutions, equipment, and service vendors in production and post-production.","Post-production support, facility and process management, content creation processes, on-set production, proficiency in speaking and writing in English, ability to communicate in local languages such as Hindi, working with media asset management and workflow automation systems, dailies processing, editorial, VFX pulls, conform/online to final delivery, familiarity with production and post-production software, understanding of industry standards, building relationships with technology solutions, equipment, and service vendors, strong understanding of production and post-production software usage."
C++ Developer,Adobe,GCC,"C++, threading skills, Windows platform, architectural patterns.","Excellent communication skills, ability to collaborate across teams, practice with product development and release methodologies such as Agile, Lean, and Scrum."
Computer Scientist (C++ Developer),Adobe,GCC,"Full stack software development, Backend technologies like C++, Node JS, REST API, Java, Frontend technologies like React JS, Redux, TypeScript, JavaScript, React Spectrum, DevOps technologies like AWS, Azure, Kubernetes, Docker, designing and developing complex, large-scale microservices and RESTful APIs for real-time responsive applications, proficiency in data structures and algorithms, experience with machine learning and deep learning.","Strong verbal and written communication skills, strong technical leadership skills, high-quality coding and design competencies, cost consciousness around computation and memory requirements."
Software Development Engineer,Adobe,GCC,"Cloud platforms such as Azure, AWS, or GCP, programming languages like Python, technologies such as MongoDB, Redis, HashiCorp tools (Vault, Terraform, Nomad, Consul), monitoring tools like Grafana, Prometheus, NewRelic, and Splunk.","Operating cloud products, Infrastructure as Code, Git & CI/CD pipeline setup, operating Kubernetes at scale, familiarity with monitoring and alerting systems, familiarity with Aerospike, MongoDB, and Grafana tools."
Software Engineer,Oracle,GCC,"Development engineering, building products, Android, Cordova, Java, Objective-C, React Native, Swift, iOS, Object-Oriented technologies, Java, Android, iOS technologies.","Great written communication and documentation abilities, hands-on experience with HTML5, CSS, XML, API technologies, ability to participate in design and code reviews and provide feedback."
Principal Software Engineer / Developer 4,Oracle,GCC,"High-performing, scalable, and fault-tolerant web applications, full-stack development, flexible UI SDKs, legacy code refactoring, system and feature architecture, algorithms, cloud application development, distributed systems, Java, Kubernetes, microservices architecture, MySQL, OCI, SQL, software engineering, unit testing.","High-performing, scalable, and fault-tolerant web applications, full-stack development, flexible UI SDKs, legacy code refactoring, system and feature architecture, algorithms, cloud application development, distributed systems, Java, Kubernetes, microservices architecture, MySQL, OCI, SQL, software engineering, unit testing."
Software Engineer,Oracle,GCC,"Automated testing approaches, test automation for different aspects of applications, translating user requirements into technical solutions, executing and maintaining automated tests, quality standards, control methods, and theories for manufacturing, testing, and inspection, analyzing code coverage reports, implementing tests for untested areas, developing automated tests for new features.","Troubleshooting and debugging software programs, creating prototypes, writing unit test scripts, deploying solutions to different environments, taking ownership of customer-reported issues, root cause analysis and problem resolution, mentoring new team members, handling sprint and release commitments, impediment resolution, handling escalations, providing support to new team members, focusing on quality and application performance, following SCRUM framework and methodology."
System Software Quality Engineer,Intel,GCC,"Software quality engineering methods, software development life cycle (SDLC), programming/scripting languages, automation tools and frameworks, AI-driven automation, data visualization techniques.","Software development, validation, and quality assurance, data analysis, metrics creation, data visualization tools (e.g., PowerBI), Robotic Process Automation (RPA), AI agents for automation, back-end database connections, software product delivery, team collaboration, and support for software development practices."
Software Research Engineer/Scientist,Intel,GCC,"Web development best practices, web service architectures, web security principles, automated testing methodologies, front-end development workflows, design and UI frameworks, data structures, programming languages, software engineering principles.","UI/UX for web development, scalable web architecture, web services, web security, automated testing frameworks (e.g., Cypress), CSS, design frameworks (e.g., Bootstrap), data structure libraries (e.g., Immutable.js), React, Redux, JavaScript, Emscripten."
"AI Software Solutions Engineer (AI Frameworks, Workloads)",Intel,GCC,"Programming languages: Advanced C++, Python, parallel programming, machine learning system optimization and deployment techniques (e.g., quantization), inference serving solutions, compiler algorithms for heterogeneous systems, open-source compiler infrastructure (e.g., LLVM, GCC), low-level kernels.","Inference frameworks/tools for deep learning models, architecture/design contributions to inference systems, optimization techniques for large language models (LLMs), transformers and inference-specific optimizations, debugging complex issues in multi-layered software systems, software integration across open-source frameworks and internal layers, computer architecture."
Software Engineer,Cisco,GCC,"Networking technologies (SR, SRv6, EVPN, MPLS, VXLAN, L2/L3 protocols), C, C++, Python, software engineering practices, Linux kernel architecture, open-source technologies","Technical leadership in networking, routing and switching technologies, SR, SRv6, EVPN, MPLS, VXLAN, L2/L3 protocols, architecting and designing complex networking systems, software engineering principles, Linux, kernel programming, open source technologies."
Software QA Technical Leader,Cisco,GCC,"Layer-2 switching (802.1Q, xSTP, LAG, ARP), Layer-3 routing (BGP, IP, OSPF, VPN, IPSec, NAT, DHCP), networking technologies (LANs, routing, switching, wireless), network security features (Cisco TrustSec, Access-List), OS fundamentals (kernel and user space), networking protocols, cloud-based services, Agile principles.","Python proficiency, including building tools or framework modules, technical leadership in software engineering, traffic generation using IXIA for automated testing, concurrent programming, Linux environment development and troubleshooting, system design, solution building, performance testing, customer network deployment, network design, cloud infrastructure, network security, version control (Git), Yocto, Agile methodology."
SONiC Development,Cisco,GCC,"Distributed systems architecture, virtualization/containerization (Docker), network protocols (Netconf/Yang), data structures, Linux OS internals, networking technologies (L2/L3/VLAN/VXLAN/Segment Routing), version control (Git), project management tools (Jira), CI/CD processes.","Software development, distributed architecture, virtualization and container technologies (e.g., Docker), Netconf/Yang, distributed caches (e.g., Redis), Go Lang, Python, data and control plane software, Linux user space/OS internals, networking technologies (L2, L3, VLAN, Port Channel, LAG, VXLAN, Segment Routing, Authentication), software design, modelling, testing, open-source tools, GitHub, Jira, Jenkins, CI/CD pipeline tools."
Software Developer,IBM,GCC,"Core Java, Java J2EE, Microservices Architecture, Database technologies (SQL, Db2, Oracle), Docker, Kubernetes, OpenShift Container Platform, Linux Operating Systems (Red Hat, Ubuntu), Network protocols (TCP/IP, HTTP, TLS, SSH), Version Control systems (Github), Build tools (Maven/Gradle), Messaging brokers (Kafka), Unit Testing and Cucumber Framework, Security, Stack upgrades, and troubleshooting/debugging customer issues.","Expertise in building Restful APIs, SDK APIs, writing and executing Unit Tests, experience with Servlets, XML, JSON, YAML, CI/CD tools (Jenkins), strong ownership of deliverables, ability to quickly learn and apply new technologies, and contributing to team members' technical growth."
Software Developer � Fullstack,IBM,GCC,"JAVA (Versions 8 & 17), Spring/SpringBoot, JUnit, REST Webservices, Gradle/Maven, GitHub, JS/React, Front-end development, Docker, Kubernetes, Linux systems, CI/CD pipelines, Native cloud, Security, Websphere Application Server/Liberty.","Strong software development and leadership skills, proactive self-starter mindset, excellent problem-solving abilities, collaborative team player, hands-on experience with frontend and backend technologies, ability to drive projects independently, and foster a cooperative work environment."
Software Developer,IBM,GCC,"Java, JavaScript, React, Angular, SQL (DB2, Oracle, MS SQL Server), JUnit, Git, Websphere, Weblogic, API, Agile Methodologies, Maximo Asset Management, CI/CD tools (Git, GitHub, Travis CI, Jenkins, Artifactory), OpenShift, Kubernetes, Docker, Python, Salesforce, Basic Linux/Unix.","Strong full-stack development experience, expertise in problem-solving, attention to detail, excellent communication, and teamwork skills, experience with CI/CD pipelines and version control, ability to work with various cloud and containerization technologies, and strong proficiency in working with Maximo Asset Management."
Software Principal Engineer,Dell Technologies,GCC,"System Management software development, C/C++ development, Embedded Linux programming, OS Internals, memory management, IPC, thread programming, embedded application software development, SNMP, IPMI, DMTF, RedFish, CIM, CIMOM, I2C, MCTP, NCSI, PLDM, uEFI protocol, peripheral hardware devices (PCIe Switch, NIC, GPU, FPGA, Memory controller), server system architecture, Power and Thermal domain.","Strong firmware/system development background, expertise in C/C++ programming and debugging, embedded application development, deep understanding of server system architecture and power/thermal management, proficiency in protocols like IPMI and SNMP, experience with embedded systems and hardware peripherals, and solid experience working with embedded Linux environments."
Software Engineer (C Programming),Dell Technologies,GCC,"C programming, Distributed Software Systems, Operating Systems, File Systems, Embedded Software, Advanced Data Structures, Memory Management, Locking, Design Patterns, Multithreading, Parallel Programming, Algorithms, Concurrency Models, Asynchronous Concepts, UNIX/Linux/POSIX systems software development, storage networking protocols and architectures.","Strong analytical and problem-solving abilities, proficiency in C programming, experience in working with distributed systems and embedded software, deep understanding of memory management, concurrency, and multithreading, and solid knowledge of UNIX/Linux environments and storage networking protocols."
Software Engineer 2 BIOS Automation,Dell Technologies,GCC,"Automation languages (Python, Micro Python, Perl), X86 / X64 Architecture and Instruction set, Embedded Programming in C and C++, Test Driven Development (TDD), Unit Test environments for C, programming in C.","Experience in automation scripting, deep understanding of processor architectures (X86/X64), strong embedded programming skills in C and C++, and expertise in Test Driven Development, including writing and executing unit tests for C code."
Senior Full-Stack Developer - Javascript/Go,SAP Labs,GCC,"Cloud service development and operation, JavaScript, Golang, Microsoft Azure, Amazon Web Services (AWS), Google Cloud Platform (GCP), Cassandra database, Kubernetes, Docker, network configuration for software solutions.","Proficiency in cloud development languages (JavaScript, Golang), deploying and managing cloud applications, working with cloud platforms (Azure, AWS, GCP), developing applications with Cassandra, containerization using Kubernetes and Docker, and managing network configurations for software solutions. Strong team player with excellent English communication skills and a proactive attitude toward learning new technologies."
